Total (kWh),ANNEE,MOIS_sin,MOIS_cos,population,SECTEUR_AGRICOLE,SECTEUR_COMMERCIAL,SECTEUR_INDUSTRIEL,SECTEUR_INSTITUTIONNEL,SECTEUR_RÉSIDENTIEL,REGION_ADM_QC_TXT_Abitibi-Témiscamingue,REGION_ADM_QC_TXT_Bas-Saint-Laurent,REGION_ADM_QC_TXT_Capitale-Nationale,REGION_ADM_QC_TXT_Centre-du-Québec,REGION_ADM_QC_TXT_Chaudière-Appalaches,REGION_ADM_QC_TXT_Côte-Nord,REGION_ADM_QC_TXT_Estrie,REGION_ADM_QC_TXT_Gaspésie--Îles-de-la-Madeleine,REGION_ADM_QC_TXT_Lanaudière,REGION_ADM_QC_TXT_Laurentides,REGION_ADM_QC_TXT_Laval,REGION_ADM_QC_TXT_Mauricie,REGION_ADM_QC_TXT_Montréal,REGION_ADM_QC_TXT_Montérégie,REGION_ADM_QC_TXT_Nord-du-Québec,REGION_ADM_QC_TXT_Outaouais,REGION_ADM_QC_TXT_Saguenay--Lac-Saint-Jean
0.0015952915592402487,2019,0.8660254037844386,0.5000000000000001,0.04964980371379506,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.022797410174076327,2019,0.8660254037844386,0.5000000000000001,0.04964980371379506,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.11574207430260885,2019,0.8660254037844386,0.5000000000000001,0.04964980371379506,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.012443701925742645,2019,0.8660254037844386,0.5000000000000001,0.04964980371379506,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1356313726141839,2019,0.8660254037844387,-0.4999999999999998,0.04964980371379506,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1357474339384452,2019,0.49999999999999994,-0.8660254037844387,0.04964980371379506,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.007951660713194461,2019,0.49999999999999994,-0.8660254037844387,0.04964980371379506,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0009619587403906938,2019,1.2246467991473532e-16,-1.0,0.04964980371379506,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.01431876737206527,2019,1.2246467991473532e-16,-1.0,0.04964980371379506,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.11778566647593652,2019,1.2246467991473532e-16,-1.0,0.04964980371379506,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
